#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# /Users/friedman1/idl/sn/text/00_bayesn_fixed_metadata.txt
# Created by User : friedman1
# On Machine      : multiverse.mit.edu
# On Date         : Wed Mar  2 17:35:14 EST 2016
# From IDL Script : ~/Desktop/CfAIR2_paper/bayesn_metadata.pro
# With IDL Script : /Users/friedman1/idl/sn/write_array_file.pro
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Header 
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#snname           type   RA          DEC            RA_sex        DEC_sex      lII         bII          z_helio        z_err   z_cmb          E(B-V)   dE(B-V)   Av_gal   Gal_Name                     Morph                TBmax      dTBmax   TBmax_est   Av_mlcs   dAv     Rv_mlcs   dRv    Delta    dDelta   mu_mlcs   dmu     Comments                                                                    
sn2009le          Ia     32.321417   -23.412444     02h09m17.1s   -23d24m45s   205.31284   -72.032802   0.017785600    0.001   0.017038776    0.0164   0.0006    0.0509   ESO_478-6                    Sbc                  55165.41   0.23     -999        0.536     0.131   3.00      0.33   -0.096   0.106    34.442    0.127   2015-Jun-07_04:36:01_(grid)_good_fit_(0.7211_<_3.0000000)_sn2009le          
sn2009kq          Ia     129.06300   28.067139      08h36m15.1s   +28d04m02s   195.99641   34.146560    0.011591000    0.001   0.012363159    0.0410   0.0006    0.1272   MCG_+5-21-1                  Anon                 55154.61   0.35     -999        0.181     0.083   3.03      0.35   -0.030   0.052    33.977    0.092   2015-Jun-07_13:38:36_(grid)_good_fit_(0.1513_<_3.0000000)_sn2009kq          
sn2009kk          Ia     57.434458   -3.2644170     03h49m44.3s   -03d15m52s   191.60262   -41.216333   0.012858900    0.001   0.012436439    0.1376   0.0029    0.4265   2MFGC_3182                   Anon                 55125.83   0.73     -999        0.061     0.047   2.89      0.20   0.237    0.069    34.142    0.093   2015-Jun-07_13:15:39_(grid)_good_fit_(0.1931_<_3.0000000)_sn2009kk          
sn2009jr          Ia     306.60800   2.9086389      20h26m26.0s   +02d54m32s   46.969548   -19.561402   0.016548000    0.001   0.015620215    0.1347   0.0035    0.4176   IC_1320                      SB(s)b?              55119.83   0.49     -999        1.107     0.161   2.90      0.31   -0.167   0.058    34.461    0.150   2015-Jun-07_06:35:55_(grid)_good_fit_(0.3697_<_3.0000000)_sn2009jr          
sn2009im          Ia     53.341900   -4.9990000     03h33m22.1s   -04d59m56s   190.42725   -45.568503   0.013059000    0.001   0.012561362    0.0580   0.0068    0.1798   NGC_1355                     S0?edge-on           55074      3        55074       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_CBET_1934                                                             
sn2009fv          Ia     247.43400   40.811590      16h29m44.2s   +40d48m42s   64.680113   43.508965    0.029300000    0.001   0.029372336    0.0063   0.0014    0.0196   NGC_6173                     E                    54998      3        54998       1.264     0.216   2.98      0.33   0.238    0.188    34.977    0.203   tbmax_CfA4_CBET_1846_MLCS_larger_error                                      
sn2009fw          Ia     308.07700   -19.733220     20h32m18.5s   -19d43m59s   25.067155   -30.722083   0.028226000    0.001   0.027390249    0.0582   0.0031    0.1804   ESO_597-G6                   SA0^-(rs)?           54993      3        54993       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_CBET_1849                                                             
sn2009ds          Ia     177.26700   -9.7291380     11h49m04.1s   -09d43m45s   278.50445   50.161031    0.019227000    0.001   0.020447341    0.0389   0.0007    0.1205   NGC_3905                     SB(rs)c              54960.50   0.38     -999        0.077     0.063   2.98      0.26   -0.120   0.056    35.142    0.083   2015-Jun-07_05:59:29_(grid)_good_fit_(0.2289_<_3.0000000)_sn2009ds          
sn2009do          Ia     188.74300   50.851222      12h34m58.3s   +50d51m04s   129.34747   66.071561    0.039734000    0.001   0.040342611    0.0149   0.0006    0.0462   NGC_4537                     S                    54945      2        54945       0.192     0.116   3.07      0.36   0.079    0.072    36.489    0.126   tbmax_CfA4_CBET_1778_MLCS_larger_error                                      
sn2009bv          Ia     196.83529   35.784389      13h07m20.5s   +35d47m04s   102.55072   80.705864    0.036700000    0.001   0.037485036    0.0086   0.0009    0.0266   MCG_+6-29-39                 Anon                 54926.33   0.38     -999        0.064     0.046   2.89      0.20   -0.180   0.056    36.666    0.073   2015-Jun-07_04:53:30_(grid)_good_fit_(0.4890_<_3.0000000)_sn2009bv          
sn2009an          Ia     185.69750   65.851250      12h22m47.4s   +65d51m04s   127.58257   51.017682    0.0092000000   0.001   0.0095414906   0.0186   0.0003    0.0578   NGC_4332                     SB(s)a               54898.21   0.24     -999        0.357     0.117   3.02      0.34   0.350    0.079    33.442    0.104   2015-Jun-07_04:35:31_(grid)_good_fit_(1.4876_<_3.0000000)_sn2009an          
sn2009al          Ia     162.84200   8.5785278      10h51m22.1s   +08d34m43s   240.44520   56.099913    0.022105000    0.001   0.023292218    0.0246   0.0005    0.0763   NGC_3425                     S0                   54896.41   0.31     -999        0.640     0.113   3.07      0.35   -0.158   0.050    35.264    0.119   2015-Jun-09_17:51:32_(grid)_bad_fit_(4.6180_>_3.0000000)_sn2009al           
sn2009ad          Ia     75.889083   6.6599170      05h03m33.4s   +06d39m36s   193.71143   -20.366785   0.028399600    0.001   0.028336960    0.1120   0.0013    0.3471   UGC_3236                     Sbc                  54886.05   0.24     -999        0.065     0.044   2.90      0.20   -0.131   0.045    35.840    0.072   2015-Jul-10_21:38:13_(grid)_good_fit_(0.2626_<_3.0000000)_sn2009ad          
sn2009Y           Ia     220.59900   -17.246770     14h42m23.8s   -17d14m48s   337.32805   38.104160    0.0093160000   0.001   0.010073338    0.1016   0.0006    0.3150   NGC_5728                     SAB(r)a?             54875.89   0.48     -999        0.328     0.102   2.97      0.33   -0.116   0.051    33.230    0.102   2015-Jun-07_06:27:53_(grid)_good_fit_(0.2608_<_3.0000000)_sn2009Y           
sn2009D           Ia     58.595125   -19.181722     03h54m22.8s   -19d10m54s   212.23952   -47.435621   0.025007300    0.001   0.024671058    0.0529   0.0014    0.1639   MCG_-03-10-52                Sb                   54842      2        54842       0.130     0.092   3.08      0.36   -0.106   0.058    35.331    0.105   tbmax_CfA4_CBET_1647_MLCS_larger_error                                      
sn2008hy          Ia     56.285200   76.665417      03h45m08.4s   +76d39m55s   132.48185   17.134532    0.0084590000   0.001   0.0082077343   0.2350   0.0083    0.7285   IC_334                       S?                   54803      5        54803       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_CBET_1610                                                             
sn2008hv          Ia     136.89192   3.3922500      09h07m34.1s   +03d23m32s   226.65956   31.614489    0.012549000    0.001   0.013589824    0.0321   0.0009    0.0994   NGC_2765                     S0                   54816.91   0.11     -999        0.030     0.025   2.80      0.00   0.376    0.051    34.070    0.064   2015-Jun-07_05:13:44_(grid)_good_fit_(0.5861_<_3.0000000)_sn2008hv          
sn2008hs          Ia     36.373400   41.843083      02h25m29.6s   +41d50m35s   141.10971   -17.684678   0.017349000    0.001   0.016640628    0.0573   0.0004    0.1776   NGC_910                      cD                   54812.64   0.15     -999        0.095     0.078   2.99      0.26   0.927    0.070    34.685    0.092   2015-Jun-07_05:04:57_(grid)_good_fit_(0.8305_<_3.0000000)_sn2008hs          
sn2008hm          Ia     51.795400   46.944333      03h27m10.9s   +46d56m40s   148.60794   -8.0153357   0.019664000    0.001   0.019183604    0.4425   0.0099    1.3717   2MFGC_2845                   Spiral               54804.33   0.41     -999        0.225     0.185   3.07      0.36   -0.122   0.052    34.883    0.103   2015-Jun-07_04:22:57_(grid)_good_fit_(0.8195_<_3.0000000)_sn2008hm          
sn2008gl          Ia     20.228400   4.8053056      01h20m54.8s   +04d48m19s   136.60932   -57.281562   0.034017000    0.001   0.032968822    0.0284   0.0009    0.0879   UGC_881                      E                    54768.13   0.27     -999        0.080     0.069   2.98      0.26   0.311    0.081    36.105    0.106   2015-Jun-07_05:39:53_(grid)_good_fit_(0.3076_<_3.0000000)_sn2008gl          
sn2008gb          Ia     44.488042   46.865722      02h57m57.1s   +46d51m57s   144.33136   -10.681786   0.036998900    0.001   0.036425283    0.1983   0.0041    0.6148   UGC_2427                     Sbc                  54745.42   1.09     -999        0.092     0.083   2.98      0.26   -0.093   0.073    36.539    0.107   2015-Jun-07_05:07:57_(grid)_good_fit_(0.5147_<_3.0000000)_sn2008gb          
sn2008fx          Ia     32.891500   23.880444      02h11m34.0s   +23d52m50s   145.54400   -35.448265   0.059000000    0.001   0.058143213    0.0807   0.0014    0.2501   2MASX_J02113233+2353074      Anon                 54729      3        54729       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_CBET_1525                                                             
sn2008fv          Ia     154.23800   73.410111      10h16m57.1s   +73d24m36s   136.27760   39.459764    0.0093460000   0.001   0.0095424436   0.0241   0.0018    0.0747   NGC_3147                     SA(rs)bc             54749.8    0.20     54749.8     -999      -999    -999      -999   -999     -999     -999      -999    tbmax_biscardi12                                                            
sn2008fr          Ia     17.954800   14.640833      01h11m49.1s   +14d38m27s   130.30137   -47.938996   0.049000000    0.001   0.047932146    0.0449   0.0014    0.1392   SDSS_J011149.19+143826.5     Anon                 54732      2        54732       0.021     0.021   2.80      0.00   -0.126   0.046    36.583    0.059   tbmax_CfA4_MLCS_larger_error                                                
snf20080522-011   Ia     229.99500   4.9046944      15h19m59.2s   +04d54m11s   7.4943292   48.236100    0.039700000    0.001   0.040262017    0.0427   0.0008    0.1325   SDSS_J151959.16+045411.2     Anon                 54617      2        54617       0.045     0.039   2.89      0.20   -0.141   0.053    36.414    0.068   tbmax_CfA4_MLCS_larger_error                                                
snf20080522-000   Ia     204.19800   5.1417778      13h36m47.6s   +05d08m33s   331.11004   65.501443    0.047200000    0.001   0.048173928    0.0265   0.0005    0.0823   SDSS_J133647.59+050833.0     Anon                 54621.28   0.48     -999        0.141     0.104   3.06      0.36   -0.137   0.075    36.659    0.118   2015-Jun-07_03:59:08_(grid)_good_fit_(0.7973_<_3.0000000)_snf20080522-000   
